Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
FHER3,412,-038,-046,0046,"0,00%",78,-118,-105,-16,-090,-120,"-4,41%","-12,15%",91,"-22,17%","121,19%","50.598,60","-479.633.000,00",-005,"34,38%"
JFEN3,024,-036,040,0519,"0,00%",62,015,-084,-48,-370,-377,"-61,84%","-147,50%",199,"-7,88%","-111,04%","1.837.900,00","147.572.000,00",158,"-8,13%"
WISA4,025,-035,-001,0219,"0,00%",29,-006,-031,-1,-1927,-1927,"-71,41%","-62,75%",18,"-9,78%","2,39%",000,"-205.386.000,00",-052,"-48,66%"
NEXP3,405,-033,-007,0255,"0,00%",93,-013,-020,-5,-120,-151,"-128,68%","-74,76%",37,"-52,99%","20,00%","4.565,51","-161.324.000,00",-040,"-17,86%"
LETO3,080,-032,-005,0000,"0,00%",96,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","17,05%",000,"-58.642.000,00",000,"-17,38%"
BHIA3,641,-030,019,0023,"0,00%",20,-015,090,-4,1116,422,"2,53%","-7,68%",76,"3,05%","-63,54%","27.586.500,00","3.242.000.000,00",272,"0,85%"
WISA3,020,-028,-001,0175,"0,00%",23,-005,-025,-1,-1921,-1921,"-71,41%","-62,75%",18,"-9,78%","2,39%",000,"-205.386.000,00",-052,"-48,66%"
PMAM4,584,-023,-007,0794,"0,00%",215,-008,-088,-6,-1137,-1458,"-90,38%","-343,26%",8,"-35,01%","31,04%",000,"-5.128.580.000,00",-086,"-44,03%"
VVAR11,1458,-022,014,0017,"0,00%",15,-011,068,-3,1095,414,"2,53%","-7,68%",76,"3,05%","-63,54%",000,"3.242.000.000,00",272,"0,85%"
VVAR4,484,-022,014,0017,"0,00%",15,-011,068,-3,1094,414,"2,53%","-7,68%",76,"3,05%","-63,54%",000,"3.242.000.000,00",272,"0,85%"
MNDL4,038,-021,002,0004,"0,00%",3,-003,004,-1,460,396,"10,89%","-2,06%",79,"7,54%","-11,72%",000,"156.512.000,00",287,"16,98%"
GOLL4,111,-019,-002,0025,"0,00%",21,-003,020,-1,747,431,"12,47%","-13,72%",33,"13,43%","10,85%","7.612.490,00","-23.219.400.000,00",-082,"24,64%"
RPMG3,273,-018,-003,0036,"0,00%",25,-018,-015,-3,-014,-015,"-24,58%","-19,67%",87,"-17,73%","17,49%","116.775,00","-5.774.750.000,00",000,"46,88%"
DOCA4,500,-018,-001,-1393,"0,00%",14,-015,-012,-1,-671,-662,"1.165,92%","636,17%",61,"-12,48%","8,24%",000,"-390.317.000,00",-082,"-38,80%"
DUQE4,295,-017,-119,1275,"0,00%",45,-008,-017,-6,-123,-135,"-732,92%","-767,60%",33,"-28,21%","715,74%",000,"-6.987.000,00",-719,"-42,70%"
SEQL3,610,-015,021,0206,"0,00%",63,-031,-020,-12,-103,-134,"-102,77%","-133,95%",48,"-35,27%","-137,09%","7.280.500,00","593.879.000,00",095,"-22,76%"
TEKA3,4250,-015,-001,0069,"0,00%",18,-001,233,-1,6479,4368,"2,97%","-46,27%",5,"1,23%","6,70%",31667,"-2.136.020.000,00",-027,"23,66%"
FTRX3,013,-015,-002,0206,"0,00%",23,-004,-019,-1,-177,-227,"-106,22%","-138,83%",6,"-11,99%","13,50%",000,"-154.535.000,00",-016,"-31,25%"
FTRX4,011,-013,-002,0174,"0,00%",19,-003,-016,-1,-174,-224,"-106,22%","-138,83%",6,"-11,99%","13,50%",000,"-154.535.000,00",-016,"-31,25%"
TEKA4,2810,-010,-001,0046,"0,00%",12,-001,154,0,6400,4315,"2,97%","-46,27%",5,"1,23%","6,70%","1.883,44","-2.136.020.000,00",-027,"23,66%"
